type, origin
"journal", "International Journal of Digital Curation"
"journal", "Future Generation Computer Systems"
"conference", "International Conference of Digital Curation"
"conference", "DPHEP Collaboration Workshop"
"conference", "RDA Plenary Meetings"
"conference", "International Workshop on Reproducible Open Science"
"software", "DMPTool Blog"
"software", "DMP Online"
"software", "DMPTool git"
"software", "DMPOnline git"
"software", "DMP Roadmap git"
"interest group", "Active Data Management Plans IG RDA"
"interest group", "FAIR DMP FORCE11"
"search engine", "Google Scholar"
"search engine", "CiteseerX"
"search engine", "ScienceDirect"
"search engine", "SpringerLink"
"search engine", "SCOPUS"
"search engine", "Web of Science"
